Time,Angular_Velocity_Deg/Sec,Position_Deg,Torque_Nm
2026-05-15 19:52:39.437669,0.06155203701928258,239.49094365583733,-8.895923050213606
2026-05-15 19:52:39.447668,0.2613247036933899,238.67896443000063,-8.707621201174334
2026-05-15 19:52:39.457668,-0.10986579954624176,237.4609955912456,-9.46082859733142
2026-05-15 19:52:39.467668,-0.09053296083584428,237.68654537620023,-8.707621201174334
2026-05-15 19:52:39.477668,-0.09182181674987078,237.19033584930003,-8.895923050213606
2026-05-15 19:52:39.487668,-0.09568838449195027,214.22936774091795,-8.895923050213606
2026-05-15 19:52:39.497668,0.07057402841746807,226.86015569837764,-9.084224899252876
2026-05-15 19:52:39.507668,-0.040267580188810825,232.7244501071982,-8.707621201174334
2026-05-15 19:52:39.517668,-0.6279858769848943,233.13043972011656,-7.201206408860162
2026-05-15 19:52:39.527668,-0.366348126437515,249.1444744518958,-7.201206408860162
2026-05-15 19:52:39.537668,-0.031245588790625334,245.5356778926216,-8.142715654056518
2026-05-15 19:52:39.547668,0.11568398540839553,236.55879645142704,-8.895923050213606
2026-05-15 19:52:39.557668,0.42500940477475524,239.4458336988464,-9.272526748292147
2026-05-15 19:52:39.567668,-0.8535356619395316,236.24302675249055,-9.084224899252876
2026-05-15 19:52:39.577668,-0.2683950769715011,236.73923627939075,-9.084224899252876
2026-05-15 19:52:39.587668,-0.050578427501022816,238.00231507513672,-8.895923050213606
2026-05-15 19:52:39.597668,-0.04671185975894332,238.00231507513672,-8.895923050213606
2026-05-15 19:52:39.607668,-0.008046182338148355,209.4026023428887,-8.895923050213606
2026-05-15 19:52:39.617668,0.002264664974063635,238.04742503212765,-9.084224899252876
2026-05-15 19:52:39.627668,-0.09826609632000327,241.79155146237463,-8.519319352135062
2026-05-15 19:52:39.637668,0.07186288433149457,239.9420432257466,-8.895923050213606
2026-05-15 19:52:39.647668,0.3889214391820133,235.43104752665386,-7.766111955977976
2026-05-15 19:52:39.657668,-0.04671185975894332,226.76993578439578,-10.214035993488505
2026-05-15 19:52:39.667668,-0.01320160599425435,235.07016787072644,-9.272526748292147
2026-05-15 19:52:39.677668,-0.04800071567296982,233.44620941905305,-8.895923050213606
2026-05-15 19:52:39.687668,-0.2864390597678721,236.78434623638168,-8.895923050213606
2026-05-15 19:52:39.697668,0.4688305058516562,237.91209516115487,-8.895923050213606
2026-05-15 19:52:39.707668,0.07701830798760056,234.43862847285345,-9.084224899252876
2026-05-15 19:52:39.717668,-0.19750800170004368,236.51368649443612,-9.084224899252876
2026-05-15 19:52:39.727668,-0.07506668986752629,236.10769688151777,-9.084224899252876
2026-05-15 19:52:39.737668,-0.05444499524310231,253.15926062408835,-8.895923050213606
2026-05-15 19:52:39.747668,-0.03640101244673133,226.27372625749558,-8.895923050213606
2026-05-15 19:52:39.757668,-0.09697724040597677,233.89730898896232,-8.707621201174334
2026-05-15 19:52:39.767668,-0.8599799415096641,236.37835662346333,-8.707621201174334
2026-05-15 19:52:39.777668,-0.45914575224742293,256.45228748442605,-8.895923050213606
2026-05-15 19:52:39.787668,-0.10471037589013577,251.03909264551476,-7.766111955977976
2026-05-15 19:52:39.797668,-0.04800071567296982,237.821875247173,-8.707621201174334
2026-05-15 19:52:39.807668,0.06284089293330908,237.6414354192093,-8.895923050213606
2026-05-15 19:52:39.817668,-0.3727924060076475,238.90451421495527,-8.895923050213606
2026-05-15 19:52:39.827668,-0.42048007482662797,236.91967610735446,-8.895923050213606
2026-05-15 19:52:39.837668,-0.1639977479353547,236.87456615036353,-9.084224899252876
2026-05-15 19:52:39.847667,-0.07506668986752629,239.17517395690084,-8.895923050213606
2026-05-15 19:52:39.857667,-0.0686224102973938,236.10769688151777,-8.707621201174334
2026-05-15 19:52:39.867667,-0.015779317822307348,234.57395834382623,-9.084224899252876
2026-05-15 19:52:39.877667,0.024175215512514114,245.71611772058532,-9.084224899252876
2026-05-15 19:52:39.887667,0.17110478971153498,238.453414645046,-9.272526748292147
2026-05-15 19:52:39.897667,0.6183377918787301,232.99510984914377,-10.96724338964559
2026-05-15 19:52:39.907667,0.21105932304635644,221.040971246548,-9.46082859733142
2026-05-15 19:52:39.917667,-0.14466490922495723,229.38631328986958,-9.46082859733142
2026-05-15 19:52:39.927667,-0.4166135070845485,235.43104752665386,-8.895923050213606
2026-05-15 19:52:39.937667,0.046085766050964594,235.8370371395722,-8.707621201174334
2026-05-15 19:52:39.947667,0.142749959602952,235.92725705355406,-8.895923050213606
2026-05-15 19:52:39.957667,0.18785991659387946,237.41588563425466,-8.895923050213606
2026-05-15 19:52:39.967667,-0.03511215653270483,237.1452258923091,-8.895923050213606
2026-05-15 19:52:39.977667,-0.09439952857792377,265.29383905464783,-8.895923050213606
2026-05-15 19:52:39.987667,0.06155203701928258,260.69262344157323,-9.084224899252876
2026-05-15 19:52:39.997667,-0.04800071567296982,236.8294561933726,-8.895923050213606
2026-05-15 19:52:40.007667,-0.10213266406208277,228.66455397801474,-9.084224899252876
2026-05-15 19:52:40.017667,-0.5016779974102974,235.47615748364478,-11.720450785802678
