Time,Angular_Velocity_Deg/Sec,Position_Deg,Torque_Nm
2026-05-15 17:55:55.645179,-0.008046182338148355,245.3552380646579,-9.837432295409963
2026-05-15 17:55:55.655178,-0.11244351137429476,247.52051600022241,-9.649130446370691
2026-05-15 17:55:55.665178,0.19945961982011795,247.3400761722587,-9.649130446370691
2026-05-15 17:55:55.675178,-0.03382330061867833,240.1224830537103,-10.025734144449233
2026-05-15 17:55:55.685178,-0.0686224102973938,260.9632831835188,-10.025734144449233
2026-05-15 17:55:55.695178,-0.08537753717973828,250.54288311861455,-9.649130446370691
2026-05-15 17:55:55.705178,-0.015779317822307348,246.12210733350366,-9.649130446370691
2026-05-15 17:55:55.715178,-0.21684084041044116,247.159636344295,-9.837432295409963
2026-05-15 17:55:55.725178,0.08990686712786555,245.3552380646579,-7.954413805017247
2026-05-15 17:55:55.735178,0.021597503684461117,242.28776098927483,-9.649130446370691
2026-05-15 17:55:55.745178,-0.03382330061867833,245.44545797863975,-9.649130446370691
2026-05-15 17:55:55.755178,0.0370637746527791,252.97882079612464,-9.46082859733142
2026-05-15 17:55:55.765178,0.17626021336764097,245.49056793563068,-9.649130446370691
2026-05-15 17:55:55.775178,-0.10213266406208277,245.31012810766697,-10.025734144449233
2026-05-15 17:55:55.785178,0.16466051014140248,244.76880862377584,-7.201206408860162
2026-05-15 17:55:55.795178,0.04737462196499109,240.52847266662866,-9.272526748292147
2026-05-15 17:55:55.805178,-0.08537753717973828,237.73165533319116,-9.837432295409963
2026-05-15 17:55:55.815178,-0.05831156298518181,249.41513419384137,-9.46082859733142
2026-05-15 17:55:55.825178,0.4675416499376297,246.3476571184583,-9.649130446370691
2026-05-15 17:55:55.835178,-0.01449046190828085,246.48298698943108,-9.837432295409963
2026-05-15 17:55:55.845178,-0.3006164748221636,246.0318874195218,-10.025734144449233
2026-05-15 17:55:55.855178,-0.051867283415049314,250.31733333365992,-9.649130446370691
2026-05-15 17:55:55.865178,-0.0712001221254468,248.01672552712262,-9.46082859733142
2026-05-15 17:55:55.875178,-0.10471037589013577,250.22711341967806,-9.837432295409963
2026-05-15 17:55:55.885178,-0.0660446984693408,247.56562595721334,-9.649130446370691
2026-05-15 17:55:55.895178,-0.02480130922049284,247.61073591420427,-9.837432295409963
2026-05-15 17:55:55.905178,-0.410169227514416,248.28738526906818,-10.77894154060632
2026-05-15 17:55:55.915178,-0.22328511998057365,255.865858043544,-9.46082859733142
2026-05-15 17:55:55.925178,-0.10857694363221526,235.74681722559035,-9.837432295409963
2026-05-15 17:55:55.935178,-0.0634669866412878,243.91171944094822,-9.649130446370691
2026-05-15 17:55:55.945178,-0.20910770492628217,246.6634268173948,-9.837432295409963
2026-05-15 17:55:55.955178,0.002264664974063635,244.81391858076677,-9.46082859733142
2026-05-15 17:55:55.965178,-0.050578427501022816,246.48298698943108,-10.590639691567048
2026-05-15 17:55:55.975178,-0.0660446984693408,244.67858870979398,-10.214035993488505
2026-05-15 17:55:55.985178,-0.05702270707115531,243.14485017210245,-9.649130446370691
2026-05-15 17:55:55.995178,0.0009758090600371361,240.84424236556515,-10.025734144449233
2026-05-15 17:55:56.005178,-0.21812969632446766,245.98677746253088,-9.837432295409963
2026-05-15 17:55:56.015178,-0.08408868126571178,244.7236986667849,-9.837432295409963
2026-05-15 17:55:56.025178,0.025464071426540613,244.8590285377577,-10.96724338964559
2026-05-15 17:55:56.035178,-0.09053296083584428,243.09974021511152,-10.214035993488505
2026-05-15 17:55:56.045178,-0.060889274813234806,265.3840589686297,-9.649130446370691
2026-05-15 17:55:56.055177,-0.07506668986752629,246.88897660234943,-9.649130446370691
2026-05-15 17:55:56.065177,-0.3779478296637535,246.48298698943108,-9.837432295409963
2026-05-15 17:55:56.075177,0.3747440241277218,245.76122767757624,-9.46082859733142
2026-05-15 17:55:56.085177,0.17626021336764097,234.39351851586252,-9.46082859733142
2026-05-15 17:55:56.095177,0.046085766050964594,237.91209516115487,-9.837432295409963
2026-05-15 17:55:56.105177,-0.040267580188810825,271.06791354948655,-9.837432295409963
2026-05-15 17:55:56.115177,0.716290841344744,242.5584207312204,-9.837432295409963
2026-05-15 17:55:56.125177,-0.10213266406208277,245.71611772058532,-9.46082859733142
2026-05-15 17:55:56.135177,-0.09826609632000327,246.1672172904946,-9.649130446370691
2026-05-15 17:55:56.145177,0.1569273746572435,246.07699737651274,-10.025734144449233
2026-05-15 17:55:56.155177,-0.02480130922049284,240.6186925806105,-10.025734144449233
